date_published,id,type,country,country_code,name,status,admin_year,intersected_area_ha_cumulative,illegality_very_high_affected_area_ha,illegality_very_high_affected_area_pct,illegality_high_affected_area_ha,illegality_high_affected_area_pct,illegality_medium_affected_area_ha,illegality_medium_affected_area_pct,illegality_low_affected_area_ha,illegality_low_affected_area_pct,illegality_na_affected_area_ha,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy
2026-09-22,EC30086_0,indigenous_territories,Ecuador,EC,Arutam,Titulada,202503,226.68,0.0,0.0,0.0,0.0,170.39,0.752,56.29,0.248,0.0,-78.492864,-3.513115,-78.333962,-3.283086
2026-09-22,EC30506_0,indigenous_territories,Ecuador,EC,Asociacion Rio Blanco,Titulada,202503,4.98,0.0,0.0,0.0,0.0,0.0,0.0,4.98,1.0,0.0,-77.586084,-1.01432,-77.55908,-0.999511
2026-09-22,EC30280_0,indigenous_territories,Ecuador,EC,C. Shuar Campanak,Titulada,202503,45.27,0.0,0.0,0.0,0.0,17.79,0.393,27.48,0.607,0.0,-78.530445,-3.540457,-78.457936,-3.477627
2026-09-22,EC30281_0,indigenous_territories,Ecuador,EC,Canzama - San Antonio,Titulada,202503,45.58,0.0,0.0,42.52,0.933,3.06,0.067,0.0,0.0,0.0,-78.916437,-3.854789,-78.887469,-3.785161
2026-09-22,EC30147_0,indigenous_territories,Ecuador,EC,Centro Shuar Yukuapais,Titulada,202503,42.88,0.0,0.0,42.88,1.0,0.0,0.0,0.0,0.0,0.0,-77.625317,-2.333246,-77.574986,-2.261815
2026-09-22,EC30747_0,indigenous_territories,Ecuador,EC,Chai,Sin reconocimiento,202503,43.33,0.0,0.0,0.0,0.0,43.33,1.0,0.0,0.0,0.0,-78.507776,-3.688612,-78.384315,-3.560575
2026-09-22,EC30056_0,indigenous_territories,Ecuador,EC,Chapinza,Titulada,202503,1.49,0.0,0.0,1.49,1.0,0.0,0.0,0.0,0.0,0.0,-78.904713,-3.803053,-78.837587,-3.751917
2026-09-22,EC30060_0,indigenous_territories,Ecuador,EC,Chichitza,Titulada,202503,17.84,0.0,0.0,0.0,0.0,0.0,0.0,17.84,1.0,0.0,-78.686364,-3.876848,-78.659383,-3.851155
2026-09-22,EC30058_0,indigenous_territories,Ecuador,EC,Chichiz,Titulada,202503,0.0,,,,,,,,,0.0,-78.683802,-3.887527,-78.630675,-3.8412
2026-09-22,EC30087_0,indigenous_territories,Ecuador,EC,Chuchumbleza,Titulada,202503,0.0,,,,,,,,,0.0,-78.541943,-3.534795,-78.529727,-3.519042
